brand,manufacturer_part_number,description,motor_type,rated_power_kw,voltage_v,frequency_hz,speed_rpm,current_a,efficiency_percent,power_factor,ip_rating,insulation_class,mounting,duty,frame_size,ambient_temperature_c,weight_kg,poles,series,source_type,source_reference
ABB,AB-00750-6P-001,"0.75 kW three-phase induction motor, 6-pole, 380 V, 50 Hz",Three-phase induction motor,0.75,380,50,970,1.8,83.1,0.76,IP65,F,B3,S1,280,40,13.0,6,M2BAX,starter_seed,Synthetic starter record for development/testing
ABB,AB-01500-2P-002,"1.5 kW three-phase induction motor, 2-pole, 415 V, 50 Hz",Three-phase induction motor,1.5,415,50,2945,3.15,86.1,0.77,IP65,F,B5,S1,280,40,8.7,2,BVM,starter_seed,Synthetic starter record for development/testing
WEG,WE-00750-2P-003,"0.75 kW three-phase induction motor, 2-pole, 400 V, 50 Hz",Three-phase induction motor,0.75,400,50,2955,1.78,83.3,0.73,IP55,F,B3,S1,160,40,9.7,2,W22,starter_seed,Synthetic starter record for development/testing
WEG,WE-11000-2P-004,"11 kW three-phase induction motor, 2-pole, 415 V, 50 Hz",Three-phase induction motor,11.0,415,50,2955,19.46,90.4,0.87,IP65,F,B5,S1,90,40,38.4,2,BVM,starter_seed,Synthetic starter record for development/testing
WEG,WE-05500-6P-005,"5.5 kW three-phase induction motor, 6-pole, 380 V, 50 Hz",Three-phase induction motor,5.5,380,50,960,11.17,90.1,0.83,IP55,F,B3,S1,90,40,19.6,6,GX,starter_seed,Synthetic starter record for development/testing
WEG,WE-04000-4P-006,"4 kW three-phase induction motor, 4-pole, 380 V, 50 Hz",Three-phase induction motor,4.0,380,50,1470,8.42,89.1,0.81,IP55,F,B35,S1,280,40,20.6,4,BVM,starter_seed,Synthetic starter record for development/testing
Siemens,SI-04000-4P-007,"4 kW three-phase induction motor, 4-pole, 400 V, 50 Hz",Three-phase induction motor,4.0,400,50,1475,7.88,90.4,0.81,IP55,F,B35,S1,225,40,15.6,4,M2BAX,starter_seed,Synthetic starter record for development/testing
Siemens,SI-01100-4P-008,"1.1 kW three-phase induction motor, 4-pole, 400 V, 50 Hz",Three-phase induction motor,1.1,400,50,1475,2.45,83.2,0.78,IP55,F,B3,S1,250,40,14.8,4,GX,starter_seed,Synthetic starter record for development/testing
CG Power,CG-03000-4P-009,"3 kW three-phase induction motor, 4-pole, 380 V, 50 Hz",Three-phase induction motor,3.0,380,50,1465,6.52,88.5,0.79,IP56,F,B35,S1,250,40,14.7,4,1LE1,starter_seed,Synthetic starter record for development/testing
Siemens,SI-75000-4P-010,"75 kW three-phase induction motor, 4-pole, 380 V, 50 Hz",Three-phase induction motor,75.0,380,50,1460,129.02,96.0,0.92,IP56,F,B35,S1,100,40,160.5,4,GX,starter_seed,Synthetic starter record for development/testing
Bharat Bijlee,BH-45000-6P-011,"45 kW three-phase induction motor, 6-pole, 415 V, 50 Hz",Three-phase induction motor,45.0,415,50,970,74.11,96.0,0.88,IP65,F,B5,S1,90,40,108.8,6,W22,starter_seed,Synthetic starter record for development/testing
ABB,AB-15000-4P-012,"15 kW three-phase induction motor, 4-pole, 400 V, 50 Hz",Three-phase induction motor,15.0,400,50,1465,27.32,91.1,0.87,IP65,F,B3,S1,132,40,41.6,4,M2BAX,starter_seed,Synthetic starter record for development/testing
WEG,WE-75000-6P-013,"75 kW three-phase induction motor, 6-pole, 380 V, 50 Hz",Three-phase induction motor,75.0,380,50,965,129.02,96.0,0.92,IP55,F,B35,S1,225,40,164.7,6,M2BAX,starter_seed,Synthetic starter record for development/testing
ABB,AB-22000-4P-014,"22 kW three-phase induction motor, 4-pole, 380 V, 50 Hz",Three-phase induction motor,22.0,380,50,1465,40.63,93.5,0.88,IP55,F,B35,S1,90,40,56.0,4,M2BAX,starter_seed,Synthetic starter record for development/testing
Bharat Bijlee,BH-03000-2P-015,"3 kW three-phase induction motor, 2-pole, 415 V, 50 Hz",Three-phase induction motor,3.0,415,50,2955,6.13,86.2,0.79,IP56,F,B3,S1,250,40,23.2,2,1LE1,starter_seed,Synthetic starter record for development/testing
WEG,WE-30000-6P-016,"30 kW three-phase induction motor, 6-pole, 400 V, 50 Hz",Three-phase induction motor,30.0,400,50,970,50.68,96.0,0.89,IP55,F,B3,S1,112,40,70.4,6,BVM,starter_seed,Synthetic starter record for development/testing
Bharat Bijlee,BH-07500-6P-017,"7.5 kW three-phase induction motor, 6-pole, 380 V, 50 Hz",Three-phase induction motor,7.5,380,50,965,15.46,88.8,0.83,IP55,F,B3,S1,112,40,31.5,6,M2BAX,starter_seed,Synthetic starter record for development/testing
Bharat Bijlee,BH-07500-4P-018,"7.5 kW three-phase induction motor, 4-pole, 380 V, 50 Hz",Three-phase induction motor,7.5,380,50,1475,14.96,90.7,0.84,IP65,F,B5,S1,250,40,21.6,4,GX,starter_seed,Synthetic starter record for development/testing
CG Power,CG-05500-2P-019,"5.5 kW three-phase induction motor, 2-pole, 415 V, 50 Hz",Three-phase induction motor,5.5,415,50,2940,10.59,89.2,0.81,IP55,F,B35,S1,200,40,24.0,2,M2BAX,starter_seed,Synthetic starter record for development/testing
ABB,AB-30000-6P-020,"30 kW three-phase induction motor, 6-pole, 380 V, 50 Hz",Three-phase induction motor,30.0,380,50,970,55.32,94.7,0.87,IP55,F,B5,S1,200,40,67.9,6,GX,starter_seed,Synthetic starter record for development/testing
Siemens,SI-01500-4P-021,"1.5 kW three-phase induction motor, 4-pole, 380 V, 50 Hz",Three-phase induction motor,1.5,380,50,1480,3.4,83.9,0.8,IP55,F,B3,S1,80,40,8.0,4,GX,starter_seed,Synthetic starter record for development/testing
CG Power,CG-05500-4P-022,"5.5 kW three-phase induction motor, 4-pole, 380 V, 50 Hz",Three-phase induction motor,5.5,380,50,1460,11.18,89.0,0.84,IP56,F,B5,S1,132,40,20.3,4,BVM,starter_seed,Synthetic starter record for development/testing
CG Power,CG-03000-2P-023,"3 kW three-phase induction motor, 2-pole, 380 V, 50 Hz",Three-phase induction motor,3.0,380,50,2950,6.45,89.4,0.79,IP55,F,B35,S1,225,40,13.3,2,M2BAX,starter_seed,Synthetic starter record for development/testing
Bharat Bijlee,BH-55000-6P-024,"55 kW three-phase induction motor, 6-pole, 380 V, 50 Hz",Three-phase induction motor,55.0,380,50,980,94.62,96.0,0.92,IP55,F,B35,S1,100,40,118.6,6,1LE1,starter_seed,Synthetic starter record for development/testing
CG Power,CG-02200-6P-025,"2.2 kW three-phase induction motor, 6-pole, 415 V, 50 Hz",Three-phase induction motor,2.2,415,50,965,4.45,87.0,0.79,IP65,F,B35,S1,180,40,15.0,6,W22,starter_seed,Synthetic starter record for development/testing
Siemens,SI-18500-2P-026,"18.5 kW three-phase induction motor, 2-pole, 400 V, 50 Hz",Three-phase induction motor,18.5,400,50,2950,32.84,92.4,0.88,IP55,F,B3,S1,200,40,41.0,2,BVM,starter_seed,Synthetic starter record for development/testing
Bharat Bijlee,BH-02200-2P-027,"2.2 kW three-phase induction motor, 2-pole, 380 V, 50 Hz",Three-phase induction motor,2.2,380,50,2960,5.07,86.7,0.76,IP55,F,B3,S1,160,40,12.5,2,1LE1,starter_seed,Synthetic starter record for development/testing
CG Power,CG-90000-6P-028,"90 kW three-phase induction motor, 6-pole, 415 V, 50 Hz",Three-phase induction motor,90.0,415,50,970,137.29,96.0,0.95,IP55,F,B35,S1,225,40,204.1,6,W22,starter_seed,Synthetic starter record for development/testing
ABB,AB-03000-4P-029,"3 kW three-phase induction motor, 4-pole, 380 V, 50 Hz",Three-phase induction motor,3.0,380,50,1460,6.69,88.5,0.77,IP65,F,B3,S1,132,40,19.8,4,1LE1,starter_seed,Synthetic starter record for development/testing
